date,exchange_rate
2011-02-24,0.96
2011-02-27,0.96
2011-03-02,0.95
2011-03-05,0.92
2011-03-08,0.9
2011-03-11,0.93
2011-03-14,0.9
2011-03-17,0.87
2011-03-20,0.79
2011-03-23,0.86
2011-03-26,0.9
2011-03-30,0.8
2011-04-02,0.8
2011-04-05,0.77
2011-04-08,0.78
2011-04-11,0.76
2011-04-14,0.99
2011-04-17,1.09
2011-04-20,1.19
2011-04-23,1.38
2011-04-26,1.71
2011-04-29,2.66
2011-05-02,3.95
2011-05-05,3.56
2011-05-08,3.75
2011-05-11,5.41
2011-05-14,8.56
2011-05-17,8.47
2011-05-20,7.28
2011-05-23,6.81
2011-05-26,7.95
2011-05-29,8.68
2011-06-01,9.47
2011-06-04,15.05
2011-06-07,19.19
2011-06-10,32.34
2011-06-13,24.87
2001-02-01,24.87ABC
	
